Unnamed: 0,Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
771,"Apple iPhone 16e (White, 128 GB)",4.5,"1,689 Ratings & 113 Reviews",,15.49 cm (6.1 inch) Super Retina XDR Display,48MP Rear Camera | 12MP Front Camera,,"A18 Chip, 6 Core Processor",,"₹57,999","₹59,900",3% off,Bank Offer,"₹42,800"
772,Kechaoda K28 PRO,3.8,248 Ratings & 15 Reviews,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,3000 mAh Battery,,1 Year Manufacturer Warranty,"₹1,198","₹1,999",40% off,Super Deals,
773,Kechaoda A 27,3.9,658 Ratings & 19 Reviews,32 MB RAM | 32 MB ROM,1.68 cm (0.66 inch) Display,,800 mAh Battery,,1 Year Company Domestic Warranty by Company Authorized Service Center.,₹879,"₹2,000",56% off,Bank Offer,
774,"OPPO F 29 Pro 5G (Granite Black, 128 GB)",4.4,78 Ratings & 8 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50MP + 50MP | 50MP + 2MP Dual Front Camera,6000 mAh Battery,MediaTek Dimensity 7300 Processor,on Handset and 6 Months Warranty on Accessories; Domestic Warranty: 1 Year,"₹21,990","₹32,999",33% off,Super Deals,
775,LAVA A1 Josh BOL,4.1,"9,555 Ratings & 726 Reviews",,4.5 cm (1.77 inch) Quarter QVGA Display,,1000 mAh Li-ion Battery,,No Warranty,₹996,"₹1,399",28% off,Bank Offer,
776,"OnePlus Nord 5�5G (Marble Sands, 256 GB)",4.5,545 Ratings & 51 Reviews,8 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Full HD+ AMOLED Display,50MP + 50MP + 8MP | 50MP Front Camera,6800 mAh Battery,Qualcomm® Snapdragon™ 8s Gen 3 Mobile Platform Processor,,"₹33,560","₹34,999",4% off,Bank Offer,"₹26,200"
777,"Tecno Spark Go 2 (Ink Black, 64 GB)",4.2,"1,841 Ratings & 112 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,13MP Rear Camera,5000 mAh Lithium Polymer Battery,T7250 Processor,1 Year Manufacturer Warranty for Phone,"₹7,499","₹8,999",16% off,Bank Offer,"₹5,650"
778,"Tecno Spark Go 2 (Veil White, 64 GB)",4.2,"1,841 Ratings & 112 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,13MP Rear Camera,5000 mAh Lithium Polymer Battery,T7250 Processor,1 Year Manufacturer Warranty for Phone,"₹7,499","₹8,999",16% off,Bank Offer,"₹5,650"
779,"realme 15T 5G (Silk Blue, 128 GB)",4.3,"4,140 Ratings & 283 Reviews",8 GB RAM | 128 GB ROM,16.69 cm (6.57 inch) Full HD Display,50MP + 2MP | 50MP Front Camera,7000 mAh Battery,MediaTek Dimensity 6400 MAX Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹21,999","₹22,999",4% off,Bank Offer,"₹17,400"
780,"REDMI A5 (Jaisalmer Gold, 128 GB)",4.2,"3,840 Ratings & 194 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,T7250 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"₹7,499","₹9,999",25% off,Super Deals,"₹5,650"
781,"Ai+ Nova 5G (Green, 128 GB)",4.2,"16,583 Ratings & 1,108 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,T8200 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,"₹8,499","₹10,999",22% off,Bank Offer,"₹6,500"
782,"OPPO F29 5G (Solid Purple, 256 GB)",4.4,"2,431 Ratings & 134 Reviews",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6500 mAh Battery,6 Gen 1 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹23,999","₹30,999",22% off,,"₹18,800"
783,"Apple iPhone 16 Plus (White, 128 GB)",4.6,"3,922 Ratings & 208 Reviews",,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,,"A18 Chip, 6 Core Processor Processor",,"₹76,999","₹79,900",3% off,,"₹55,250"
784,"Samsung Galaxy M16 5G (Mint Green, 128 GB)",4.1,466 Ratings & 15 Reviews,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,488","₹13,999",10% off,Bank Offer,
785,GFive A1-C,3.5,334 Ratings & 15 Reviews,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) VGA Display,,1100 mAh Battery,NA Processor,1 Year Service Centre Warranty,₹480,₹999,51% off,Bank Offer,
786,"realme 15 Pro 5G (Flowing Silver, 512 GB)",4.3,"3,715 Ratings & 290 Reviews",12 GB RAM | 512 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,Snapdragon 7 Gen 4 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹38,999","₹42,999",9% off,,"₹31,300"
787,"Samsung M55s (Thunder Black, 128 GB)",4.1,292 Ratings & 20 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,snapdragon Processor,,"₹17,849","₹28,999",38% off,Bank Offer,"₹14,050"
788,HOTLINE POWER,3.9,272 Ratings & 18 Reviews,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,3000 mAh Battery,,The Hotline Mobiles has 3 Months Manufacture’s Warranty & after Warranty period we would like to help our customers with the best possible service under low expenses,₹570,₹999,42% off,Bank Offer,
789,"vivo T3 Pro 5G (Sandstone Orange, 256 GB)",4.5,"90,929 Ratings & 5,580 Reviews",8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹24,999","₹31,999",21% off,Bank Offer,"₹19,600"
790,Kechaoda A26,4,"29,435 Ratings & 1,618 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery,NA Processor,,₹920,"₹1,599",42% off,Bank Offer,
